City,lat,lng,,,,,city,state_id
"Republic, WA",48.6477,-118.7326,,,,,Republic,WA
"Bellevue, WA",47.5953,-122.155,,,,,Bellevue,WA
"Malo, WA",48.7997,-118.6119,,,,,Malo,WA
"Anderson Island, WA",47.1577,-122.7037,,,,,Anderson Island,WA
"University Place, WA",47.2148,-122.546,,,,,University Place,WA
"Montesano, WA",47.0102,-123.5858,,,,,Montesano,WA
"Rainier, WA",46.8917,-122.6867,,,,,Rainier,WA
"Fords Prairie, WA",46.7461,-123.0029,,,,,Fords Prairie,WA
"Roy, WA",46.9971,-122.5423,,,,,Roy,WA
"Oso, WA",48.2836,-121.9237,,,,,Oso,WA
"Marblemount, WA",48.5378,-121.4346,,,,,Marblemount,WA
"Elk Plain, WA",47.0448,-122.3671,,,,,Elk Plain,WA
"Burlington, WA",48.4677,-122.3298,,,,,Burlington,WA
"Bangor Base, WA",47.7227,-122.7146,,,,,Bangor Base,WA
"Beaux Arts Village, WA",47.5854,-122.2009,,,,,Beaux Arts Village,WA
"Port Gamble Tribal Community, WA",47.8487,-122.5571,,,,,Port Gamble Tribal Community,WA
"Olympia, WA",47.0417,-122.8959,,,,,Olympia,WA
"East Wenatchee, WA",47.4172,-120.2809,,,,,East Wenatchee,WA
"Addy, WA",48.3588,-117.8372,,,,,Addy,WA
"Minnehaha, WA",45.6577,-122.6204,,,,,Minnehaha,WA
"Bryn Mawr-Skyway, WA",47.4949,-122.2411,,,,,Bryn Mawr-Skyway,WA
"Satsop, WA",47.0223,-123.4737,,,,,Satsop,WA
"Riverbend, WA",47.4651,-121.7491,,,,,Riverbend,WA
"Easton, WA",47.2405,-121.1733,,,,,Easton,WA
"Silverdale, WA",47.6663,-122.6828,,,,,Silverdale,WA
"Napavine, WA",46.5844,-122.9007,,,,,Napavine,WA
"Lochsloy, WA",48.0597,-122.0411,,,,,Lochsloy,WA
"Ellensburg, WA",46.9994,-120.547,,,,,Ellensburg,WA
"McKenna, WA",46.9365,-122.55,,,,,McKenna,WA
"Fairfield, WA",47.3848,-117.1748,,,,,Fairfield,WA
"Northwest Stanwood, WA",48.2623,-122.3501,,,,,Northwest Stanwood,WA
"Mansfield, WA",47.8119,-119.638,,,,,Mansfield,WA
"Duvall, WA",47.7354,-121.9725,,,,,Duvall,WA
"Markham, WA",46.9155,-123.9814,,,,,Markham,WA
"Waller, WA",47.2035,-122.3699,,,,,Waller,WA
"Longview, WA",46.146,-122.963,,,,,Longview,WA
"Richland, WA",46.2826,-119.2937,,,,,Richland,WA
"Rosedale, WA",47.3453,-122.6368,,,,,Rosedale,WA
"Vancouver, WA",45.6367,-122.597,,,,,Vancouver,WA
"Bethel, WA",47.4874,-122.6175,,,,,Bethel,WA
"Custer, WA",48.9143,-122.6397,,,,,Custer,WA
"Lofall, WA",47.8113,-122.6564,,,,,Lofall,WA
"Fairwood, WA",47.4467,-122.143,,,,,Fairwood,WA
"Winlock, WA",46.4907,-122.9342,,,,,Winlock,WA
"Sumner, WA",47.219,-122.2338,,,,,Sumner,WA
"Cottage Lake, WA",47.7466,-122.0755,,,,,Cottage Lake,WA
"Puget Island, WA",46.1742,-123.3829,,,,,Puget Island,WA
