,Flight Date,Carrier,ORIGIN,DEST,DEP_DELAY_NEW,ARR_DELAY_NEW,FLIGHTS,WEATHER_DELAY
253,2017-07-28,DL,IAH,ATL,62.0,58.0,1.0,0.0
254,2017-07-28,DL,IAH,ATL,50.0,42.0,1.0,0.0
255,2017-07-28,DL,IAH,ATL,36.0,36.0,1.0,0.0
256,2017-08-02,DL,IAH,ATL,219.0,196.0,1.0,0.0
257,2017-08-02,DL,IAH,ATL,73.0,54.0,1.0,0.0
258,2017-08-02,DL,IAH,SLC,0.0,15.0,1.0,0.0
259,2017-08-02,DL,IAH,ATL,71.0,53.0,1.0,0.0
260,2017-08-03,DL,IAH,SLC,33.0,32.0,1.0,0.0
261,2017-08-03,DL,IAH,ATL,74.0,69.0,1.0,0.0
262,2017-08-04,DL,IAH,ATL,19.0,56.0,1.0,0.0
263,2017-08-06,DL,IAH,ATL,25.0,23.0,1.0,0.0
264,2017-08-06,DL,IAH,ATL,22.0,28.0,1.0,22.0
265,2017-08-06,DL,IAH,ATL,42.0,40.0,1.0,0.0
266,2017-08-06,DL,IAH,ATL,34.0,44.0,1.0,0.0
267,2017-08-07,DL,IAH,ATL,53.0,114.0,1.0,0.0
268,2017-08-07,DL,IAH,ATL,87.0,93.0,1.0,0.0
269,2017-08-07,DL,IAH,ATL,33.0,18.0,1.0,0.0
270,2017-08-07,DL,IAH,ATL,0.0,24.0,1.0,0.0
271,2017-08-07,DL,IAH,ATL,46.0,57.0,1.0,0.0
272,2017-08-08,DL,IAH,SLC,91.0,74.0,1.0,0.0
273,2017-08-09,DL,IAH,ATL,40.0,28.0,1.0,0.0
274,2017-08-10,DL,IAH,ATL,23.0,32.0,1.0,0.0
275,2017-08-10,DL,IAH,ATL,48.0,47.0,1.0,0.0
276,2017-08-10,DL,IAH,ATL,0.0,22.0,1.0,0.0
277,2017-08-12,DL,IAH,ATL,103.0,91.0,1.0,0.0
278,2017-08-15,DL,IAH,ATL,15.0,27.0,1.0,0.0
279,2017-08-21,DL,IAH,ATL,39.0,26.0,1.0,0.0
280,2017-08-24,DL,IAH,ATL,115.0,96.0,1.0,0.0
281,2017-08-26,DL,IAH,ATL,90.0,110.0,1.0,90.0
282,2017-08-26,DL,IAH,ATL,72.0,123.0,1.0,6.0
283,2017-08-26,DL,IAH,ATL,33.0,36.0,1.0,0.0
284,2017-08-27,DL,IAH,ATL,61.0,59.0,1.0,59.0
285,2017-08-27,DL,IAH,ATL,107.0,101.0,1.0,101.0
286,2017-08-31,DL,IAH,ATL,58.0,39.0,1.0,0.0
287,2017-08-31,DL,IAH,ATL,29.0,26.0,1.0,0.0
288,2017-08-31,DL,IAH,ATL,31.0,18.0,1.0,0.0
289,2017-09-01,DL,IAH,ATL,51.0,44.0,1.0,0.0
290,2017-09-05,DL,IAH,ATL,73.0,106.0,1.0,0.0
291,2017-09-06,DL,IAH,ATL,39.0,24.0,1.0,0.0
292,2017-09-07,DL,IAH,ATL,28.0,20.0,1.0,0.0
293,2017-09-11,DL,IAH,ATL,48.0,41.0,1.0,0.0
294,2017-09-11,DL,IAH,ATL,22.0,29.0,1.0,0.0
295,2017-09-12,DL,IAH,ATL,122.0,109.0,1.0,0.0
296,2017-09-15,DL,IAH,ATL,43.0,32.0,1.0,0.0
297,2017-09-17,DL,IAH,ATL,415.0,397.0,1.0,0.0
298,2017-09-18,DL,IAH,ATL,11.0,28.0,1.0,0.0
299,2017-09-18,DL,IAH,ATL,35.0,32.0,1.0,0.0
300,2017-09-18,DL,IAH,ATL,433.0,422.0,1.0,0.0
301,2017-09-20,DL,IAH,ATL,29.0,17.0,1.0,0.0
302,2017-09-20,DL,IAH,ATL,34.0,22.0,1.0,0.0
303,2017-09-20,DL,IAH,MSP,91.0,82.0,1.0,0.0
304,2017-09-21,DL,IAH,ATL,90.0,127.0,1.0,0.0
305,2017-09-21,DL,IAH,ATL,53.0,51.0,1.0,0.0
306,2017-09-21,DL,IAH,ATL,39.0,34.0,1.0,0.0
307,2017-09-22,DL,IAH,ATL,19.0,16.0,1.0,0.0
